gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
Female,1,Yes,No,72,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,97.86595385309049,7046.35
Female,0,Yes,Yes,30,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),70.81479795786589,2124.44
Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.65812912265314,7116.75
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),75.21364218613748,5415.38
Female,1,No,No,26,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.56690010793574,2224.74
Female,0,No,No,43,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,70.08640919824254,3013.72
Female,0,Yes,Yes,53,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.537893017048578,1300.51
Male,0,No,Yes,30,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.79421321789241,713.83
Female,0,Yes,Yes,72,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,61.675258348115285,4440.62
Male,1,No,No,51,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),57.71926997854697,2943.68
Male,0,No,No,40,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),59.059473247374775,2362.38
Female,0,Yes,No,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,82.75863003694559,413.79
Female,0,No,No,5,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,120.0,600.0
Female,0,No,No,14,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.30484238197016,270.27
Male,0,No,No,49,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.219641278591933,1088.76
Male,0,No,No,15,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.705995615304673,355.59
Male,0,No,No,51,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,67.95857055010066,3465.89
Male,0,No,No,11,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,102.52393844281009,1127.76
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.132872666696496,2097.57
Female,0,Yes,Yes,14,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),120.0,1680.0
Female,0,No,No,71,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.35646332470512,1658.31
Female,0,Yes,No,9,Yes,No,No,No,Yes,No,No,No,No,Two year,No,Electronic check,61.78789069078254,556.09
Female,0,Yes,Yes,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.207430363514558,2114.52
Male,1,Yes,No,16,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,69.06604727920852,1105.06
Female,0,Yes,No,61,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,120.0,7320.0
Female,1,No,Yes,27,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),118.68586161113909,3204.52
Male,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),120.0,7800.0
Female,0,No,No,0,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,62.487054036384365,0.0
Male,0,No,No,22,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,50.802689514080164,1117.66
Female,0,Yes,Yes,19,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.10355270050509,552.97
Female,0,Yes,Yes,55,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,69.06371051712104,3798.5
Male,0,Yes,No,56,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,116.59895806619704,6529.54
Female,0,Yes,Yes,38,Yes,No,No,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),62.87096015823001,2389.1
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,120.0,8640.0
Male,0,No,No,18,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,58.61507061610597,1055.07
Male,0,Yes,Yes,21,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,66.7879519147933,1402.55
Male,0,No,No,41,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.731854480301184,973.01
Male,0,Yes,Yes,8,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),110.31010386063758,882.48
Male,0,No,No,14,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.04607457313949,1120.65
Female,1,Yes,No,35,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,120.0,4200.0
Male,0,No,No,46,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,90.47685625644517,4161.94
Female,1,No,No,46,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),66.95400829431627,3079.88
Male,1,Yes,No,44,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,71.54032627434505,3147.77
Female,0,No,No,18,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,86.72017489699688,1560.96
Female,0,No,No,52,Yes,Yes,No,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,63.82095175334734,3318.69
Female,0,No,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,88.13440719131813,2908.44
Female,1,No,No,0,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),38.86154660720968,0.0
Male,0,No,No,19,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.655319685431177,411.45
Female,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,116.67408485962747,8283.86
Female,0,Yes,Yes,0,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.158019298516287,0.0
Female,0,Yes,Yes,22,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.772202230440783,434.99
Male,0,No,No,12,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,92.33591020154921,1108.03
Male,0,No,No,5,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),107.6569295459623,538.28
Female,0,Yes,Yes,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,60.08174105292752,120.16
Female,0,No,No,59,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,120.0,7080.0
Female,0,No,No,32,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,119.43188974798716,3821.82
Female,0,Yes,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.96948455738151,1246.41
Female,0,No,No,16,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.7645920725013,1644.23
Female,0,Yes,Yes,31,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.869498225106543,584.95
Female,1,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,87.32644789878259,6287.5
Male,0,No,No,32,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,117.34321027609244,3754.98
Female,0,Yes,Yes,51,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),42.48568085019637,2166.77
Male,0,No,No,20,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,30.33483069595719,606.7
Female,0,No,No,30,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.29233883964213,668.77
Female,0,No,No,17,No,No phone service,No,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,58.42161370955078,993.17
Male,0,Yes,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,120.0,8640.0
Male,0,Yes,Yes,39,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.4443061171864,953.33
Male,0,No,Yes,8,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,53.970449958189704,431.76
Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,120.0,8640.0
Female,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.130861216063916,0.0
Male,1,Yes,Yes,52,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),98.40624240680322,5117.12
Female,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,66.10339173772222,859.34
Male,0,No,No,68,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.297605587965023,1584.24
Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),55.1386020011947,1102.77
Male,1,Yes,Yes,67,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.48936434806808,7603.79
Female,0,No,No,21,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.78846996475166,2011.56
Male,1,No,No,34,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.38124846102228,2562.96
Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,83.07480777206912,5981.39
Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.70497653138557,281.11
Male,1,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.94348620525906,5297.0
Male,0,No,No,10,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.257333588879163,212.57
Male,0,No,No,49,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,85.24130945886554,4176.82
Male,0,No,No,34,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),85.10430023904925,2893.55
Female,0,No,No,9,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,34.683240395021606,312.15
Male,0,No,No,9,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.804604864724112,223.24
Female,1,No,No,11,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),99.99470529028065,1099.94
Male,1,Yes,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,96.24983997516252,4716.24
Male,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,96.88808907974749,193.78
Male,0,Yes,Yes,36,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,86.51341741743596,3114.48
Female,1,No,No,54,Yes,No,No,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),98.87864337316421,5339.45
Female,0,No,No,17,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,54.18531781515457,921.15
Female,1,Yes,No,35,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.31520307066015,2706.03
Female,0,Yes,Yes,67,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.60793147149498,1380.73
Male,0,No,No,8,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.32426023104415,186.59
Female,0,No,No,67,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,52.94290454759256,3547.17
Male,0,No,No,8,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,89.62124641993218,716.97
Male,0,Yes,No,71,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,20.684567027519748,1468.6
Female,0,Yes,Yes,72,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.982951808454107,1726.77
Male,0,No,No,19,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.015102751887724,399.29
Male,0,No,No,61,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),120.0,7320.0
Female,0,No,No,8,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.234362323885065,217.87
Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,102.96192498144345,7413.26
Male,0,No,No,45,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,42.84923157639175,1928.22
Male,0,No,Yes,18,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),98.48303490199196,1772.69
Female,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,82.05003938692155,5087.1
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,81.74744118503614,5885.82
Female,0,No,No,32,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,66.46315180772547,2126.82
Male,0,No,No,14,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,79.63955057093865,1114.95
Female,0,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,88.63260135782932,1949.92
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,118.74677433043331,356.24
Female,0,No,No,41,Yes,Yes,No,No,No,Yes,No,No,No,One year,No,Mailed check,65.78561915593835,2697.21
Female,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,120.0,5040.0
Female,0,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),96.03647158348417,864.33
Female,1,No,No,47,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),107.05458012018042,5031.57
Male,0,Yes,No,67,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,87.58828554679629,5868.42
Female,0,No,No,70,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),81.28384645990107,5689.87
Female,0,No,No,17,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),82.83834039359981,1408.25
Male,0,No,No,9,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),106.73258328253563,960.59
Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),114.29275245764835,4343.12
Female,0,Yes,Yes,48,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.861034273921028,1481.33
Female,0,Yes,No,48,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,120.0,5760.0
Female,0,No,No,15,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.73089754744007,385.96
Female,0,No,No,32,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,68.23525648236723,2183.53
Female,0,Yes,Yes,72,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.372586474053858,1682.83
Male,0,Yes,Yes,72,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,120.0,8640.0
Female,0,Yes,Yes,64,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.08456552882455,1669.41
Female,0,Yes,Yes,62,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),82.30636180517175,5102.99
Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.6687883983587,433.34
Female,0,Yes,No,34,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.973452442719612,781.1
Male,1,Yes,No,34,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,96.47058062641642,3280.0
Male,0,Yes,Yes,50,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,100.18664912243092,5009.33
Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),98.95742124088603,7124.93
Male,0,Yes,Yes,64,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.06067283598529,1411.88
Female,1,No,No,42,Yes,No,No,No,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,83.33095239378326,3499.9
Male,0,Yes,Yes,34,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,67.93064378600637,2309.64
Female,0,No,No,19,Yes,Yes,No,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,76.9284821620176,1461.64
Female,0,No,No,28,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.90265376313687,669.27
Female,1,Yes,No,68,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),95.28530470950908,6479.4
Male,0,No,Yes,19,Yes,No,No,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,112.95261924720374,2146.1
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,112.91667953734397,8130.0
Male,0,No,No,44,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,92.09639795456994,4052.24
Male,0,No,No,64,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,120.0,7680.0
Female,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.20959654614364,5161.83
Male,0,Yes,Yes,44,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),49.68652496705059,2186.21
Female,0,Yes,Yes,59,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,120.0,7080.0
Female,1,No,No,5,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,51.02668619999489,255.13
Female,0,No,No,58,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,120.0,6960.0
Female,1,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,120.0,3480.0
Female,0,No,Yes,14,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,82.97548525708206,1161.66
Female,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9380582738236,1214.07
Male,1,Yes,No,18,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),76.84615518645607,1383.23
Female,1,No,No,34,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,91.23024028151175,3101.83
Male,1,No,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),120.0,240.0
Male,0,No,No,54,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),72.6138764450886,3921.15
Female,0,No,No,50,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,73.30703091685653,3665.35
Male,0,No,No,14,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.267173243872158,311.74
Female,0,Yes,Yes,64,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,75.83957944304619,4853.73
Male,0,Yes,No,53,Yes,Yes,No,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),115.09055822827035,6099.8
Male,0,Yes,No,21,Yes,Yes,No,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,104.20233440996542,2188.25
Male,1,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,82.1987791267548,739.79
Female,1,Yes,Yes,72,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,117.1057005266851,8431.61
Male,0,No,Yes,10,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,65.60334372286167,656.03
Female,0,Yes,No,65,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,26.613490578906184,1729.88
Male,0,No,No,61,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.83795434927364,4565.12
Male,0,Yes,Yes,46,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,93.9766056170603,4322.92
Female,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,119.67178279415666,6940.96
Female,0,No,Yes,46,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.062384567899123,922.87
Female,1,No,No,47,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,107.62477170262147,5058.36
Male,0,No,No,63,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.67387798909367,2058.45
Male,0,No,No,47,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,116.54205178240791,5477.48
Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,77.23561980054122,695.12
Female,0,Yes,Yes,72,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.457743433522296,1760.96
Male,0,Yes,No,31,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),71.93161020624622,2229.88
Male,0,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,69.48947856814644,3335.49
Female,0,No,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,119.85208152739744,5633.05
Female,0,No,No,60,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.40668927937209,1464.4
Male,0,Yes,Yes,28,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),63.495705773316544,1777.88
Female,0,Yes,Yes,65,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,89.69344478621984,5830.07
Male,0,Yes,No,8,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.81886067250545,838.55
Male,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,60.25245600765412,0.0
Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Mailed check,106.59005211128789,7674.48
Male,0,No,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,111.62488170797398,6809.12
Female,0,Yes,No,13,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,42.58558358970574,553.61
Female,1,Yes,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,110.92724642491487,7210.27
Male,0,No,No,48,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),97.66127250955712,4687.74
Male,0,No,No,27,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,48.888634207871725,1319.99
